maingloss,framestart,frameend,duration,transition,domgloss,ndomgloss,domreloc,ndomreloc,headpos,headmov,cheecks,nose,mouthgest,mouthing,eyegaze,eyeaperture,eyebrows,neck,shoulders,torso
ZUG,4.52864,4.76864,0.24000,0.00000,,,no,no,no,no,no,no,no,no,no,no,no,no,no,no
KOMMEN(-von-hinten),5.13655,5.36055,0.22400,0.36791,,,no,no,no,no,no,no,no,no,no,no,no,no,no,no
ICE,5.84937,6.12137,0.27200,0.48882,,,no,no,no,no,no,no,no,no,no,no,no,no,no,no
num:3,6.43518,6.53118,0.09600,0.31381,,,no,no,no,no,no,no,no,no,no,no,no,no,no,no
num:50,6.78587,7.00987,0.22400,0.25469,,,no,no,no,no,no,no,no,no,no,no,no,no,no,no
RICHTUNG,7.45575,7.69575,0.24000,0.44588,,,no,no,no,no,no,no,no,no,no,no,no,no,no,no
KOELN,8.07493,8.34693,0.27200,0.37918,,,no,no,no,no,no,no,no,no,no,no,no,no,no,no
HAUPTBAHNHOF,8.62324,9.46178,0.83854,0.27631,,,no,no,no,no,no,no,no,no,no,no,no,no,no,no
DURCHFAHREN2,9.95175,10.3997,0.44795,0.48997,,,yes,no,0,no,no,no,no,no,no,no,0,no,no,no
HANNOVER,10.7697,11.2017,0.43200,0.37000,,,no,no,no,no,no,no,no,no,no,no,no,no,no,no
DURCHFAHREN2,11.6204,12.0204,0.40000,0.41870,,,yes,no,0,no,no,no,no,no,no,no,no,no,no,0
ESSEN,12.3713,12.8163,0.44500,0.35090,,,no,no,no,no,no,no,no,no,no,no,no,no,no,no
DURCHFAHREN2,13.3004,13.6524,0.35200,0.48410,,,yes,no,0,no,no,no,no,no,no,no,no,no,no,0
KOELN,14.0743,14.3143,0.24000,0.42190,,,no,no,0,no,no,no,no,no,no,no,no,no,no,no
INDEX,14.686,14.766,0.08000,0.37170,,,yes,no,0,no,no,no,0,no,no,no,0,no,no,no
AUFBRECHEN,15.1094,15.3814,0.27200,0.34340,,,no,no,no,no,no,no,no,no,no,no,no,no,no,no
num:13,15.839,16.063,0.22400,0.45760,,,no,no,0,no,no,no,no,no,no,no,no,no,no,no
UHR,16.3197,16.5597,0.24000,0.25670,,,no,no,0,no,no,no,no,no,no,no,no,no,no,no
num:7,16.8758,17.0038,0.12800,0.31610,,,no,no,no,no,no,no,no,no,no,no,no,no,no,no
num:40,17.3399,17.7398,0.39990,0.33610,,,no,no,no,no,no,no,no,no,no,no,no,no,no,no
