maingloss,framestart,frameend,duration,transition,domgloss,ndomgloss,domhandrelocx,domhandrelocy,domhandrelocz,domhandrelocax,domhandrelocay,domhandrelocaz,domhandrelocsx,domhandrelocsy,domhandrelocsz,domhandrotx,domhandroty,domhandrotz,ndomhandrelocx,ndomhandrelocy,ndomhandrelocz,ndomhandrelocax,ndomhandrelocay,ndomhandrelocaz,ndomhandrelocsx,ndomhandrelocsy,ndomhandrelocsz,ndomhandrotx,ndomhandroty,ndomhandrotz,torsorelocx,torsorelocy,torsorelocz,torsorelocax,torsorelocay,torsorelocaz
ZUG,0,0,0.24000,0.00000,,,0,0,0,0,0,0,1,1,1,,,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0
KOMMEN(-von-hinten),0,0,0.22400,0.36791,,,0,0,0,0,0,0,1,1,1,,,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0
ICE,0,0,0.27200,0.48882,,,0,0,0,0,0,0,1,1,1,,,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0
num:3,0,0,0.09600,0.31381,,,0,0,0,0,0,0,1,1,1,,,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0
num:50,0,0,0.22400,0.25469,,,0,0,0,0,0,0,1,1,1,,,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0
RICHTUNG,0,0,0.24000,0.44588,,,0,0,0,0,0,0,1,1,1,,,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0
KOELN,0,0,0.27200,0.37918,,,0,0,0,0,0,0,1,1,1,,,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0
HAUPTBAHNHOF,0,0,0.83854,0.27631,,,0,0,0,0,0,0,1,1,1,,,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0
DURCHFAHREN2,0,0,0.44795,0.48997,,,0,0,0,0,0,0,1,1,1,,,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0
HANNOVER,0,0,0.43200,0.37000,,,0,0,0,0,0,0,1,1,1,,,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0
DURCHFAHREN2,0,0,0.40000,0.41870,,,0,0,0,0,0,0,1,1,1,,,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0
ERFURT,0,0,0.44500,0.35090,,,0,0,0,0,0,0,1,1,1,,,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0
DURCHFAHREN2,0,0,0.35200,0.48410,,,0,0,0,0,0,0,1,1,1,,,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0
KOELN,0,0,0.24000,0.42190,,,0,0,0,0,0,0,1,1,1,,,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0
INDEX,0,0,0.08000,0.37170,,,0,0,0,0,0,0,1,1,1,,,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0
AUFBRECHEN,0,0,0.27200,0.34340,,,0,0,0,0,0,0,1,1,1,,,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0
num:13,0,0,0.22400,0.45760,,,0,0,0,0,0,0,1,1,1,,,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0
UHR,0,0,0.24000,0.25670,,,0,0,0,0,0,0,1,1,1,,,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0
num:7,0,0,0.12800,0.31610,,,0,0,0,0,0,0,1,1,1,,,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0
num:40,0,0,0.39990,0.33610,,,0,0,0,0,0,0,1,1,1,,,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0
