maingloss,framestart,frameend,duration,transition,domgloss,ndomgloss,domhandrelocx,domhandrelocy,domhandrelocz,domhandrelocax,domhandrelocay,domhandrelocaz,domhandrelocsx,domhandrelocsy,domhandrelocsz,domhandrotx,domhandroty,domhandrotz,ndomhandrelocx,ndomhandrelocy,ndomhandrelocz,ndomhandrelocax,ndomhandrelocay,ndomhandrelocaz,ndomhandrelocsx,ndomhandrelocsy,ndomhandrelocsz,ndomhandrotx,ndomhandroty,ndomhandrotz
DRESDEN,0,0,0.2,0,,,0,10,-8,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0
INDEX,0,0,0.2,0.5,,,0,10,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0
ERFURT,0,0,0.2,0.5,,,0,10,8,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0
INDEX,0,0,0.2,0.5,,,0,0,-8,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0
HAMBURG,0,0,0.2,0.5,,,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0
INDEX,0,0,0.2,0.5,,,0,0,8,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0
MAINZ,0,0,0.2,0.5,,,0,-10,-8,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0
INDEX,0,0,0.2,0.5,,,0,-10,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0
HANNOVER,0,0,0.2,0.5,,,0,-10,8,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0
INDEX,0,0,0.2,0.5,,,0,-20,-8,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0

