maingloss,framestart,frameend,duration,transition,domgloss,ndomgloss,torsorelocx,torsorelocy,torsorelocz,torsorelocax,torsorelocay,torsorelocaz,domhandrelocx,domhandrelocy,domhandrelocz,domhandrelocax,domhandrelocay,domhandrelocaz,domhandrelocsx,domhandrelocsy,domhandrelocsz,domhandrotx,domhandroty,domhandrotz,ndomhandrelocx,ndomhandrelocy,ndomhandrelocz,ndomhandrelocax,ndomhandrelocay,ndomhandrelocaz,ndomhandrelocsx,ndomhandrelocsy,ndomhandrelocsz,ndomhandrotx,ndomhandroty,ndomhandrotz
DRESDEN,0,0,0.2,0.5,,,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,,,,0,0,0,0,0,0,1,1,1,,,
INDEX,0,0,0.2,0.5,,,-5,0,-5,0,0,0,0,0,-8,0,0,0,1,1,1,,,,0,0,0,0,0,0,1,1,1,,,
ERFURT,0,0,0.2,0.5,,,-5,0,5,0,0,0,0,0,-8,0,0,0,1,1,1,,,,0,0,0,0,0,0,1,1,1,,,
INDEX,0,0,0.2,0.5,,,5,0,-5,0,0,0,0,0,8,0,0,0,1,1,1,,,,0,0,0,0,0,0,1,1,1,,,
HAMBURG,0,0,0.2,0.5,,,5,0,5,0,0,0,0,0,8,0,0,0,1,1,1,,,,0,0,0,0,0,0,1,1,1,,,
INDEX,0,0,0.2,0.5,,,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,,,,0,0,0,0,0,0,1,1,1,,,
MAINZ,0,0,0.2,0.5,,,-5,0,-5,0,0,0,0,0,-8,0,0,0,1,1,1,,,,0,0,0,0,0,0,1,1,1,,,
INDEX,0,0,0.2,0.5,,,-5,0,5,0,0,0,0,0,-8,0,0,0,1,1,1,,,,0,0,0,0,0,0,1,1,1,,,
HANNOVER,0,0,0.2,0.5,,,5,0,-5,0,0,0,0,0,8,0,0,0,1,1,1,,,,0,0,0,0,0,0,1,1,1,,,
INDEX,0,0,0.2,0.5,,,5,0,5,0,0,0,0,0,8,0,0,0,1,1,1,,,,0,0,0,0,0,0,1,1,1,,,
