maingloss,framestart,frameend,duration,transition,domgloss,ndomgloss,domhandrelocx,domhandrelocy,domhandrelocz,domhandrelocax,domhandrelocay,domhandrelocaz,domhandrelocsx,domhandrelocsy,domhandrelocsz,domhandrotx,domhandroty,domhandrotz,ndomhandrelocx,ndomhandrelocy,ndomhandrelocz,ndomhandrelocax,ndomhandrelocay,ndomhandrelocaz,ndomhandrelocsx,ndomhandrelocsy,ndomhandrelocsz,ndomhandrotx,ndomhandroty,ndomhandrotz,torsorelocx,torsorelocy,torsorelocz,torsorelocax,torsorelocay,torsorelocaz
ZUG,0,0,0.24,0.0,,,0,0,0,0.0,0.0,0.0,1,1,1,,,0.0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0.0,0.0,0.0
KOMMEN(-von-hinten),0,0,0.224,0.36791,,,0,0,0,0.0,0.0,0.0,1,1,1,,,0.0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0.0,0.0,0.0
ICE,0,0,0.272,0.48882,,,0,0,0,0.0,0.0,0.0,1,1,1,,,0.0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0.0,0.0,0.0
num:3,0,0,0.096,0.31381,,,0,0,0,0.0,0.0,0.0,1,1,1,,,0.0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0.0,0.0,0.0
num:50,0,0,0.224,0.25469,,,0,0,0,0.0,0.0,0.0,1,1,1,,,0.0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0.0,0.0,0.0
RICHTUNG,0,0,0.24,0.44588,,,0,0,0,0.0,0.0,0.0,1,1,1,,,0.0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0.0,0.0,0.0
KOELN,0,0,0.272,0.37918,,,0,0,0,0.0,0.0,0.0,1,1,1,,,0.0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0.0,0.0,0.0
HAUPTBAHNHOF,0,0,0.83854,0.27631,,,0,0,0,0.0,0.0,0.0,1,1,1,,,0.0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0.0,0.0,0.0
DURCHFAHREN2,0,0,0.44795,0.48997,,,0,0,0,0.0660446509718895,-0.10195837914943695,0.25125065445899963,1,1,1,0.0660446509718895,-0.10195837914943695,0.25125065445899963,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0.15557900071144104,0.03443789854645729,0.7706025242805481
HANNOVER,0,0,0.432,0.37,,,0,0,0,0.0,0.0,0.0,1,1,1,,,0.0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0.0,0.0,0.0
DURCHFAHREN2,0,0,0.4,0.4187,,,0,0,0,0.03888382762670517,0.23382022976875305,0.6093553900718689,1,1,1,0.03888382762670517,0.23382022976875305,0.6093553900718689,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,-0.09928181022405624,0.31721600890159607,0.5980350971221924
ERFURT,0,0,0.445,0.3509,,,0,0,0,0.0,0.0,0.0,1,1,1,,,0.0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0.0,0.0,0.0
DURCHFAHREN2,0,0,0.352,0.4841,,,0,0,0,-0.024427060037851334,-0.5461727380752563,-0.08974501490592957,1,1,1,-0.024427060037851334,-0.5461727380752563,-0.08974501490592957,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,-0.04588114842772484,-0.8798350691795349,-0.054873548448085785
KOELN,0,0,0.24,0.4219,,,0,0,0,0.0,0.0,0.0,1,1,1,,,0.0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0.0,0.0,0.0
INDEX,0,0,0.08,0.3717,,,0,0,0,0.0,0.0,0.0,1,1,1,,,0.0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0.0,0.0,0.0
AUFBRECHEN,0,0,0.272,0.3434,,,0,0,0,0.0,0.0,0.0,1,1,1,,,0.0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0.0,0.0,0.0
num:13,0,0,0.224,0.4576,,,0,0,0,0.0,0.0,0.0,1,1,1,,,0.0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0.0,0.0,0.0
UHR,0,0,0.24,0.2567,,,0,0,0,0.0,0.0,0.0,1,1,1,,,0.0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0.0,0.0,0.0
num:7,0,0,0.128,0.3161,,,0,0,0,0.0,0.0,0.0,1,1,1,,,0.0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0.0,0.0,0.0
num:40,0,0,0.3999,0.3361,,,0,0,0,0.0,0.0,0.0,1,1,1,,,0.0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0.0,0.0,0.0
