maingloss,framestart,frameend,duration,transition,domgloss,ndomgloss,domhandrelocx,domhandrelocy,domhandrelocz,domhandrelocax,domhandrelocay,domhandrelocaz,domhandrelocsx,domhandrelocsy,domhandrelocsz,domhandrotx,domhandroty,domhandrotz,ndomhandrelocx,ndomhandrelocy,ndomhandrelocz,ndomhandrelocax,ndomhandrelocay,ndomhandrelocaz,ndomhandrelocsx,ndomhandrelocsy,ndomhandrelocsz,ndomhandrotx,ndomhandroty,ndomhandrotz,torsorelocx,torsorelocy,torsorelocz,torsorelocax,torsorelocay,torsorelocaz
ZUG,0,0,0.24,0.0,,,0,0,0,0.0,0.0,0.0,1,1,1,,,0.0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0
KOMMEN(-von-hinten),0,0,0.224,0.36791,,,0,0,0,0.0,0.0,0.0,1,1,1,,,0.0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0
ICE,0,0,0.272,0.48882,,,0,0,0,0.0,0.0,0.0,1,1,1,,,0.0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0
num:3,0,0,0.096,0.31381,,,0,0,0,0.0,0.0,0.0,1,1,1,,,0.0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0
num:50,0,0,0.224,0.25469,,,0,0,0,0.0,0.0,0.0,1,1,1,,,0.0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0
RICHTUNG,0,0,0.24,0.44588,,,0,0,0,0.0,0.0,0.0,1,1,1,,,0.0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0
KOELN,0,0,0.272,0.37918,,,0,0,0,0.0,0.0,0.0,1,1,1,,,0.0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0
HAUPTBAHNHOF,0,0,0.83854,0.27631,,,0,0,0,0.0,0.0,0.0,1,1,1,,,0.0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0
DURCHFAHREN2,0,0,0.44795,0.48997,,,0,0,0,0.3122216761112213,0.048292506486177444,1.4795012474060059,1,1,1,0.3122216761112213,0.048292506486177444,1.4795012474060059,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0
HANNOVER,0,0,0.432,0.37,,,0,0,0,0.0,0.0,0.0,1,1,1,,,0.0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0
DURCHFAHREN2,0,0,0.4,0.4187,,,0,0,0,-0.19239498674869537,0.6302413940429688,1.1797493696212769,1,1,1,-0.19239498674869537,0.6302413940429688,1.1797493696212769,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0
ERFURT,0,0,0.445,0.3509,,,0,0,0,0.0,0.0,0.0,1,1,1,,,0.0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0
DURCHFAHREN2,0,0,0.352,0.4841,,,0,0,0,-0.0890127643942833,-1.7096517086029053,-0.11075183749198914,1,1,1,-0.0890127643942833,-1.7096517086029053,-0.11075183749198914,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0
KOELN,0,0,0.24,0.4219,,,0,0,0,0.0,0.0,0.0,1,1,1,,,0.0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0
INDEX,0,0,0.08,0.3717,,,0,0,0,0.6230936050415039,-1.2924106121063232,-0.5213510394096375,1,1,1,0.6230936050415039,-1.2924106121063232,-0.5213510394096375,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0
AUFBRECHEN,0,0,0.272,0.3434,,,0,0,0,0.0,0.0,0.0,1,1,1,,,0.0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0
num:13,0,0,0.224,0.4576,,,0,0,0,0.0,0.0,0.0,1,1,1,,,0.0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0
UHR,0,0,0.24,0.2567,,,0,0,0,0.0,0.0,0.0,1,1,1,,,0.0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0
num:7,0,0,0.128,0.3161,,,0,0,0,0.0,0.0,0.0,1,1,1,,,0.0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0
num:40,0,0,0.3999,0.3361,,,0,0,0,0.0,0.0,0.0,1,1,1,,,0.0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0
