maingloss,framestart,frameend,duration,transition,domgloss,ndomgloss,domhandrelocx,domhandrelocy,domhandrelocz,domhandrelocax,domhandrelocay,domhandrelocaz,domhandrelocsx,domhandrelocsy,domhandrelocsz,domhandrotx,domhandroty,domhandrotz,ndomhandrelocx,ndomhandrelocy,ndomhandrelocz,ndomhandrelocax,ndomhandrelocay,ndomhandrelocaz,ndomhandrelocsx,ndomhandrelocsy,ndomhandrelocsz,ndomhandrotx,ndomhandroty,ndomhandrotz,torsorelocay,torsorelocaz
Hannover,0,0,100%,0.5,,,0,0,0,0,0,0,1,1,1,0,0.0,0.0,0,0,0,0,0,0,1,1,1,0,0,0,,
INDEX,0,0,100%,0.5,,,0,0,0,0,0,0,1,1,1,0,-0.49773895676990687,-0.38707938679095033,0,0,0,0,0,0,1,1,1,0,0,0,-0.49773895676990687,-0.38707938679095033
Mainz,0,0,100%,0.5,,,0,0,0,0,0,0,1,1,1,0,0.0,0.0,0,0,0,0,0,0,1,1,1,0,0,0,,
INDEX,0,0,100%,0.5,,,0,0,0,0,0,0,1,1,1,0,0.24745018346773984,-0.4160249284651467,0,0,0,0,0,0,1,1,1,0,0,0,0.24745018346773984,-0.4160249284651467
Hamburg,0,0,100%,0.5,,,0,0,0,0,0,0,1,1,1,0,0.0,0.0,0,0,0,0,0,0,1,1,1,0,0,0,,
INDEX,0,0,100%,0.5,,,0,0,0,0,0,0,1,1,1,0,-0.5313402148668538,0.11748927299855749,0,0,0,0,0,0,1,1,1,0,0,0,-0.5313402148668538,0.11748927299855749
Erfurt,0,0,100%,0.5,,,0,0,0,0,0,0,1,1,1,0,0.0,0.0,0,0,0,0,0,0,1,1,1,0,0,0,,
INDEX,0,0,100%,0.5,,,0,0,0,0,0,0,1,1,1,0,0.25557430989053254,0.06533323226186627,0,0,0,0,0,0,1,1,1,0,0,0,0.25557430989053254,0.06533323226186627
Dresden,0,0,100%,0.5,,,0,0,0,0,0,0,1,1,1,0,0.0,0.0,0,0,0,0,0,0,1,1,1,0,0,0,,
INDEX,0,0,100%,0.5,,,0,0,0,0,0,0,1,1,1,0,0.0,0.0,0,0,0,0,0,0,1,1,1,0,0,0,,
