maingloss,framestart,frameend,duration,transition,domgloss,ndomgloss,domhandrelocx,domhandrelocy,domhandrelocz,domhandrelocax,domhandrelocay,domhandrelocaz,domhandrelocsx,domhandrelocsy,domhandrelocsz,domhandrotx,domhandroty,domhandrotz,ndomhandrelocx,ndomhandrelocy,ndomhandrelocz,ndomhandrelocax,ndomhandrelocay,ndomhandrelocaz,ndomhandrelocsx,ndomhandrelocsy,ndomhandrelocsz,ndomhandrotx,ndomhandroty,ndomhandrotz
DRESDEN,0,0,0.2,0.0,,,0,10,-8,0,0,0,1,1,1,0,0.0,0.0,0,0,0,0,0,0,1,1,1,0,0,0
INDEX,0,0,0.2,0.5,,,0,10,0,0,0,0,1,1,1,0,-1.090708653678342,-0.17435174070764736,0,0,0,0,0,0,1,1,1,0,0,0
ERFURT,0,0,0.2,0.5,,,0,10,8,0,0,0,1,1,1,0,0.0,0.0,0,0,0,0,0,0,1,1,1,0,0,0
INDEX,0,0,0.2,0.5,,,0,0,-8,0,0,0,1,1,1,0,-1.429054060293969,-0.19066982667270915,0,0,0,0,0,0,1,1,1,0,0,0
HAMBURG,0,0,0.2,0.5,,,0,0,0,0,0,0,1,1,1,0,0.0,0.0,0,0,0,0,0,0,1,1,1,0,0,0
INDEX,0,0,0.2,0.5,,,0,0,8,0,0,0,1,1,1,0,-1.5162780367413562,-1.4650227752976859,0,0,0,0,0,0,1,1,1,0,0,0
MAINZ,0,0,0.2,0.5,,,0,-10,-8,0,0,0,1,1,1,0,0.0,0.0,0,0,0,0,0,0,1,1,1,0,0,0
INDEX,0,0,0.2,0.5,,,0,-10,0,0,0,0,1,1,1,0,-1.5627043261970746,0.12267854799450761,0,0,0,0,0,0,1,1,1,0,0,0
HANNOVER,0,0,0.2,0.5,,,0,-10,8,0,0,0,1,1,1,0,0.0,0.0,0,0,0,0,0,0,1,1,1,0,0,0
INDEX,0,0,0.2,0.5,,,0,-20,-8,0,0,0,1,1,1,0,-1.5117867237326144,-0.9646195090618601,0,0,0,0,0,0,1,1,1,0,0,0
