maingloss,framestart,frameend,duration,transition,domgloss,ndomgloss,torsorelocx,torsorelocy,torsorelocz,torsorelocax,torsorelocay,torsorelocaz,domhandrelocx,domhandrelocy,domhandrelocz,domhandrelocax,domhandrelocay,domhandrelocaz,domhandrelocsx,domhandrelocsy,domhandrelocsz,domhandrotx,domhandroty,domhandrotz,ndomhandrelocx,ndomhandrelocy,ndomhandrelocz,ndomhandrelocax,ndomhandrelocay,ndomhandrelocaz,ndomhandrelocsx,ndomhandrelocsy,ndomhandrelocsz,ndomhandrotx,ndomhandroty,ndomhandrotz
DRESDEN,0,0,0.2,0.5,,,0,0,0,0,0.0,0.0,0,0,0,0,0,0,1,1,1,,,,0,0,0,0,0,0,1,1,1,,,
INDEX,0,0,0.2,0.5,,,-5,0,-5,0,-0.545354326839171,-0.08717587035382368,0,0,-8,0,0,0,1,1,1,0.0,-0.545354326839171,-0.08717587035382368,0,0,0,0,0,0,1,1,1,,,
ERFURT,0,0,0.2,0.5,,,-5,0,5,0,0.0,0.0,0,0,-8,0,0,0,1,1,1,,,,0,0,0,0,0,0,1,1,1,,,
INDEX,0,0,0.2,0.5,,,5,0,-5,0,-0.7145270301469845,-0.09533491333635458,0,0,8,0,0,0,1,1,1,0.0,-0.7145270301469845,-0.09533491333635458,0,0,0,0,0,0,1,1,1,,,
HAMBURG,0,0,0.2,0.5,,,5,0,5,0,0.0,0.0,0,0,8,0,0,0,1,1,1,,,,0,0,0,0,0,0,1,1,1,,,
INDEX,0,0,0.2,0.5,,,0,0,0,0,-0.7581390183706781,-0.7325113876488429,0,0,0,0,0,0,1,1,1,0.0,-0.7581390183706781,-0.7325113876488429,0,0,0,0,0,0,1,1,1,,,
MAINZ,0,0,0.2,0.5,,,-5,0,-5,0,0.0,0.0,0,0,-8,0,0,0,1,1,1,,,,0,0,0,0,0,0,1,1,1,,,
INDEX,0,0,0.2,0.5,,,-5,0,5,0,-0.7813521630985373,0.06133927399725381,0,0,-8,0,0,0,1,1,1,0.0,-0.7813521630985373,0.06133927399725381,0,0,0,0,0,0,1,1,1,,,
HANNOVER,0,0,0.2,0.5,,,5,0,-5,0,0.0,0.0,0,0,8,0,0,0,1,1,1,,,,0,0,0,0,0,0,1,1,1,,,
INDEX,0,0,0.2,0.5,,,5,0,5,0,-0.7558933618663072,-0.48230975453093006,0,0,8,0,0,0,1,1,1,0.0,-0.7558933618663072,-0.48230975453093006,0,0,0,0,0,0,1,1,1,,,
