maingloss,framestart,frameend,duration,transition,domgloss,ndomgloss,domhandrelocx,domhandrelocy,domhandrelocz,domhandrelocax,domhandrelocay,domhandrelocaz,domhandrelocsx,domhandrelocsy,domhandrelocsz,domhandrotx,domhandroty,domhandrotz,ndomhandrelocx,ndomhandrelocy,ndomhandrelocz,ndomhandrelocax,ndomhandrelocay,ndomhandrelocaz,ndomhandrelocsx,ndomhandrelocsy,ndomhandrelocsz,ndomhandrotx,ndomhandroty,ndomhandrotz
Dresden,0,0,0.2,0.0,,,0,10,-8,0.0,0.0,0,1,1,1,0.0,0.0,0,0,0,0,0,0,0,1,1,1,0,0,0
INDEX,0,0,0.2,0.5,,,0,10,0,17.971983681534642,-50.90081308308193,0,1,1,1,17.971983681534642,-50.90081308308193,0,0,0,0,0,0,0,1,1,1,0,0,0
Erfurt,0,0,0.2,0.5,,,0,10,8,0.0,0.0,0,1,1,1,0.0,0.0,0,0,0,0,0,0,0,1,1,1,0,0,0
INDEX,0,0,0.2,0.5,,,0,0,-8,13.088084610702598,-51.829424527901786,0,1,1,1,13.088084610702598,-51.829424527901786,0,0,0,0,0,0,0,1,1,1,0,0,0
Hamburg,0,0,0.2,0.5,,,0,0,0,0.0,0.0,0,1,1,1,0.0,0.0,0,0,0,0,0,0,0,1,1,1,0,0,0
INDEX,0,0,0.2,0.5,,,0,0,8,16.30829433055327,-52.02011127419031,0,1,1,1,16.30829433055327,-52.02011127419031,0,0,0,0,0,0,0,1,1,1,0,0,0
Mainz,0,0,0.2,0.5,,,0,-10,-8,0.0,0.0,0,1,1,1,0.0,0.0,0,0,0,0,0,0,0,1,1,1,0,0,0
INDEX,0,0,0.2,0.5,,,0,-10,0,7.651907336442315,-49.71673944060384,0,1,1,1,7.651907336442315,-49.71673944060384,0,0,0,0,0,0,0,1,1,1,0,0,0
Hannover,0,0,0.2,0.5,,,0,-10,8,0.0,0.0,0,1,1,1,0.0,0.0,0,0,0,0,0,0,0,1,1,1,0,0,0
INDEX,0,0,0.2,0.5,,,0,-20,-8,12.94708143894649,-51.81169432037511,0,1,1,1,12.94708143894649,-51.81169432037511,0,0,0,0,0,0,0,1,1,1,0,0,0
